plan_id,title,audience,goal,level,duration_days,weeks,days_per_week,equipment,summary,phase_logic,progression_rule,safety_notes,review_status,created_version
PL0001,28 Day Beginner Foundation,general_adult,start_fitness,beginner,28,4,4,none;mat;chair,"Structured 28-day start_fitness plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0002,28 Day Fat Loss Low Impact,general_adult,fat_loss,beginner,28,4,5,none;chair;resistance_band,"Structured 28-day fat_loss plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0003,28 Day Muscle Builder,general_adult,muscle_gain,intermediate,28,4,4,dumbbells;barbell;bench,"Structured 28-day muscle_gain plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0004,8 Week Strength Base,general_adult,strength,beginner,56,8,3,barbell;dumbbells,"Structured 56-day strength plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0005,12 Week Bench 20kg to 50kg Path,general_adult,bench_press_goal,beginner,84,12,3,barbell;bench,"Structured 84-day bench_press_goal plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0006,12 Week 5K From 100m Run Walk,general_adult,run_5k,beginner,84,12,3,none;treadmill,"Structured 84-day run_5k plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0007,4 Week Mobility Reset,general_adult,mobility,beginner,28,4,5,mat;chair;towel,"Structured 28-day mobility plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0008,6 Week Pull Up Builder,general_adult,pull_up_goal,intermediate,42,6,3,pull_up_bar;resistance_band,"Structured 42-day pull_up_goal plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0009,6 Week Push Up Builder,general_adult,push_up_goal,beginner,42,6,3,none;bench,"Structured 42-day push_up_goal plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0010,Advanced Insane Conditioning Block,general_adult,high_performance,advanced,28,4,5,dumbbells;kettlebell;jump_rope;barbell,"Structured 28-day high_performance plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0011,Pregnancy Trimester 1 Movement Base,pregnant_woman,pregnancy_health,beginner,28,4,4,none;chair;resistance_band,"Structured 28-day pregnancy_health plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Pregnancy professional review required. Keep effort moderate; avoid contact/fall risk, breath holding, overheating, dizziness, bleeding, contractions or pain.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0012,Pregnancy Trimester 2 Mobility and Strength,pregnant_woman,pregnancy_health,beginner,28,4,4,none;chair;resistance_band,"Structured 28-day pregnancy_health plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Pregnancy professional review required. Keep effort moderate; avoid contact/fall risk, breath holding, overheating, dizziness, bleeding, contractions or pain.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0013,Pregnancy Trimester 3 Gentle Prep,pregnant_woman,pregnancy_health,beginner,28,4,4,none;chair,"Structured 28-day pregnancy_health plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Pregnancy professional review required. Keep effort moderate; avoid contact/fall risk, breath holding, overheating, dizziness, bleeding, contractions or pain.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0014,Postpartum 6 Plus Week Rebuild,postpartum_parent,postpartum_recovery,beginner,42,6,3,none;mat;chair,"Structured 42-day postpartum_recovery plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0015,Family Active Play Month,child_6_12,family_activity,beginner,28,4,5,none;ball;jump_rope,"Structured 28-day family_activity plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0016,Teen Technique Strength Base,teen_13_17,strength_skill,beginner,42,6,3,none;resistance_band;dumbbells,"Structured 42-day strength_skill plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_professional_review,v0.1-safe-seed-2026-06-11
PL0017,Young Adult Gym Starter,young_adult_18_25,strength_hypertrophy,beginner,56,8,4,dumbbells;barbell;machines,"Structured 56-day strength_hypertrophy plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.","Medical clearance required for pregnancy, postpartum, baby, child, pain, chronic conditions, or advanced high-intensity training.",needs_coach_review,v0.1-safe-seed-2026-06-11
PL0018,Baby Tummy Time Progression,baby_developmental_play,development,baby,28,4,7,mat;soft_toy,"Structured 28-day development plan with progression, recovery days, and swap options.",Week 1 learn form; Week 2 add volume; Week 3 add challenge; Week 4 deload/test or repeat. Longer plans repeat with small increases.,"Only progress when sessions are pain-free and quality is repeatable; otherwise hold, regress, or rest.",Developmental play only; pediatric review required; baby awake/supervised; never force movement.,needs_professional_review,v0.1-safe-seed-2026-06-11
