plan_day_id,plan_id,day_number,week_number,is_training_day,focus,session_summary,target_minutes,exercise_filter_tags,nutrition_focus,recovery_focus,created_version
PL0001-D001,PL0001,1,1,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D002,PL0001,2,1,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D003,PL0001,3,1,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D004,PL0001,4,1,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D005,PL0001,5,1,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D006,PL0001,6,1,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D007,PL0001,7,1,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D008,PL0001,8,2,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D009,PL0001,9,2,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D010,PL0001,10,2,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D011,PL0001,11,2,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D012,PL0001,12,2,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D013,PL0001,13,2,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D014,PL0001,14,2,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D015,PL0001,15,3,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D016,PL0001,16,3,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D017,PL0001,17,3,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D018,PL0001,18,3,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D019,PL0001,19,3,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D020,PL0001,20,3,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D021,PL0001,21,3,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D022,PL0001,22,4,true,cardio_endurance,"cardio_endurance session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D023,PL0001,23,4,true,mobility_core,"mobility_core session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D024,PL0001,24,4,true,upper_lower_split,"upper_lower_split session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D025,PL0001,25,4,true,skill_practice,"skill_practice session with warm-up, main work, and cool-down",30,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D026,PL0001,26,4,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D027,PL0001,27,4,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0001-D028,PL0001,28,4,false,recovery,walk + mobility + hydration check,15,start_fitness;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
PL0002-D001,PL0002,1,1,true,full_body_strength,"full_body_strength session with warm-up, main work, and cool-down",30,fat_loss;general_adult;beginner,protein + fiber + hydration,"sleep, hydration, mobility, symptom check",v0.1-safe-seed-2026-06-11
