video_source_id,exercise_id,provider,search_query,youtube_video_id,youtube_url,youtube_embed_url,channel_id,channel_title,video_title,thumbnail_url,license_type,is_embeddable,is_syndicated,duration_seconds,language,audience_safety,pregnancy_trimester,review_status,usage_policy,created_version
YTV-EX00001,EX00001,youtube,Bodyweight Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00002,EX00002,youtube,Bodyweight Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00003,EX00003,youtube,Bodyweight Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00004,EX00004,youtube,Bodyweight Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00005,EX00005,youtube,Slow Tempo Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00006,EX00006,youtube,Slow Tempo Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00007,EX00007,youtube,Slow Tempo Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00008,EX00008,youtube,Slow Tempo Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00009,EX00009,youtube,Pause Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00010,EX00010,youtube,Pause Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00011,EX00011,youtube,Pause Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00012,EX00012,youtube,Pause Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00013,EX00013,youtube,Range Builder Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00014,EX00014,youtube,Range Builder Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00015,EX00015,youtube,Range Builder Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00016,EX00016,youtube,Range Builder Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
YTV-EX00017,EX00017,youtube,Power Squat exercise demonstration Creative Commons safe form,,,,,,,,,,,,en,general_adult,not_applicable,candidate_query_only_needs_manual_video_selection,"Use YouTube official player only. Do not download, cache, rehost, or strip YouTube branding.",v0.2-youtube-ai-import-2026-06-11
