nutrition_template_id,title,audience,diet_style,goal,meal_schedule,calorie_strategy,macro_strategy,hydration_strategy,foods_to_prioritize,foods_to_limit,allergen_flags,protein_guidance,recovery_food_notes,risk_notes,data_source_hint,created_version
NT0001,Omnivore Weight Loss - 3 Meals,general_adult,omnivore,weight_loss,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0002,Omnivore Weight Loss - 3 Meals 1 Snack,general_adult,omnivore,weight_loss,3_meals_1_snack,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0003,Omnivore Weight Loss - 3 Meals 2 Snacks,general_adult,omnivore,weight_loss,3_meals_2_snacks,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0004,Omnivore Weight Loss - Time Restricted 12 Hour Window Adult Only,general_adult,omnivore,weight_loss,time_restricted_12_hour_window_adult_only,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0005,Omnivore Weight Loss - Shift Worker Flexible,general_adult,omnivore,weight_loss,shift_worker_flexible,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0006,Omnivore Muscle Gain - 3 Meals,general_adult,omnivore,muscle_gain,3_meals,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0007,Omnivore Muscle Gain - 3 Meals 1 Snack,general_adult,omnivore,muscle_gain,3_meals_1_snack,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0008,Omnivore Muscle Gain - 3 Meals 2 Snacks,general_adult,omnivore,muscle_gain,3_meals_2_snacks,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0009,Omnivore Muscle Gain - Time Restricted 12 Hour Window Adult Only,general_adult,omnivore,muscle_gain,time_restricted_12_hour_window_adult_only,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
NT0010,Omnivore Muscle Gain - Shift Worker Flexible,general_adult,omnivore,muscle_gain,shift_worker_flexible,"calculate TDEE/BMR then adjust gently; no aggressive deficit for pregnancy, children or medical users","protein, carbohydrates and fats balanced around training/recovery; personalize by body size, goal, activity and medical review",water first; add electrolytes for long heat/sweat sessions where suitable,vegetables; fruit; legumes; whole grains where tolerated; lean proteins or diet-appropriate alternatives; healthy fats; calcium/iron/B12 sources where relevant,ultra-processed foods; excessive added sugar; alcohol; stimulant-heavy drinks; foods blocked by allergy/medical/religious preference,milk;egg;fish;shellfish;tree_nuts;peanuts;wheat;soy;sesame;sulfites,Use body-weight/goal-based protein targets only after profile setup; prioritize whole foods first.,"After hard training, pair carbohydrate + protein + fluids; for vegan/vegetarian, combine legumes/grains/soy/nuts/seeds and check B12/iron/calcium planning.","Pregnancy, baby, child, diabetes, kidney disease, eating disorders, allergies and medication interactions require qualified review. Carnivore/very restrictive diets need extra review for fiber/micronutrients.",Use USDA FoodData Central for nutrient values; use Open Food Facts for packaged barcode data with license/attribution handling.,v0.1-safe-seed-2026-06-11
